        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-24 08:09:47 ,        1593.0   ,           1750.0   ,         105.0   ,         102.0   ,               64.0   ,                          74.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         53   ,                       10   ,                       2482   ,                      393   ,                 142.0   ,         0.725   ,            0.850   ,               43.8   ,                  8090   ,
2024-07-24 08:09:48 ,        1261.0   ,           1746.0   ,         105.0   ,         102.0   ,               64.0   ,                          74.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         31   ,                        6   ,                       2482   ,                      393   ,                  99.0   ,         0.725   ,            0.850   ,               43.8   ,                  8080   ,
2024-07-24 08:09:49 ,          89.0   ,           1746.0   ,         105.0   ,         102.0   ,               60.0   ,                          60.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2197   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               51.9   ,                  8128   ,
2024-07-24 08:09:50 ,           6.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                       2624   ,                      459   ,                  35.0   ,         0.725   ,            0.850   ,               55.3   ,                  8636   ,
2024-07-24 08:09:51 ,        1306.0   ,           1746.0   ,         105.0   ,         102.0   ,               62.0   ,                          66.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         40   ,                       11   ,                       2853   ,                      459   ,                  96.0   ,         1.200   ,            0.850   ,               55.5   ,                  8638   ,
2024-07-24 08:09:52 ,        1117.0   ,           1748.0   ,         105.0   ,         102.0   ,               62.0   ,                          66.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         20   ,                        6   ,                       2853   ,                      459   ,                  73.0   ,         0.725   ,            0.850   ,               54.1   ,                  8644   ,
2024-07-24 08:09:53 ,         306.0   ,           1748.0   ,         105.0   ,         102.0   ,               62.0   ,                          65.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         14   ,                        4   ,                       2854   ,                      459   ,                  65.0   ,         0.725   ,            0.850   ,               53.0   ,                  8640   ,
2024-07-24 08:09:54 ,         283.0   ,           1744.0   ,         105.0   ,         102.0   ,               61.0   ,                          64.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        3   ,                       2854   ,                      459   ,                  53.0   ,         1.200   ,            0.850   ,               51.9   ,                  8639   ,
2024-07-24 08:09:55 ,        1077.0   ,           1742.0   ,         105.0   ,         102.0   ,               62.0   ,                          63.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         22   ,                        6   ,                       2854   ,                      459   ,                  58.0   ,         1.200   ,            0.850   ,               51.0   ,                  8644   ,
2024-07-24 08:09:56 ,        1151.0   ,           1748.0   ,         105.0   ,         102.0   ,               64.0   ,                          69.0   ,                  60.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         24   ,                        4   ,                       2864   ,                      459   ,                  82.0   ,         1.200   ,            0.850   ,               50.1   ,                  8642   ,
